Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
13,5,SUCCESS,2,0.03,0.03,1.84,1812,93.84,618,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
22,5,SUCCESS,3,0.03,0.03,5.47,5441,157.08,750,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
5,5,SUCCESS,3,0.03,0.03,6.23,6202,168.41,660,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
8,5,SUCCESS,3,0.03,0.03,6.72,6691,183.48,793,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
3,5,SUCCESS,3,0.03,0.03,7.58,7545,123.09,501,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
28,5,SUCCESS,3,0.03,5.47,8.12,2652,153.23,772,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,5.44
2,5,SUCCESS,3,0.03,0.03,9.38,9346,89.65,368,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
11,5,SUCCESS,3,0.03,6.23,9.58,3345,162.91,905,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,6.2
19,5,SUCCESS,2,0.03,1.84,11.67,9826,114.32,450,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,1.81
14,5,SUCCESS,3,0.03,6.72,11.86,5140,133.65,357,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,6.69
32,5,SUCCESS,3,0.03,11.86,14.38,2519,157.85,885,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,11.83
1,5,SUCCESS,2,0.03,0.03,14.51,14476,94.64,456,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
46,5,SUCCESS,3,0.03,8.12,15.08,6953,122.54,564,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8.09
44,5,SUCCESS,3,0.03,14.38,15.5,1122,175.23,836,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,14.35
4,5,SUCCESS,3,0.03,0.03,18.18,18153,160.27,710,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
0,5,SUCCESS,2,0.03,0.03,18.55,18525,94.88,568,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
6,5,SUCCESS,2,0.03,0.03,18.67,18644,93.04,529,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
52,5,SUCCESS,3,0.03,15.08,18.68,3600,151.69,948,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,15.05
31,5,SUCCESS,2,0.03,11.67,19.3,7631,112.56,486,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,11.64
12,5,SUCCESS,2,0.03,18.55,19.68,1123,95.28,499,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,18.52
20,5,SUCCESS,3,0.03,9.38,19.71,10331,183.81,788,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,9.35
17,5,SUCCESS,3,0.03,9.58,20.11,10537,149.82,502,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,9.55
15,5,SUCCESS,3,0.03,8.12,22.66,14538,118.69,709,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8.09
86,5,SUCCESS,3,0.03,15.5,23.65,8146,110.77,612,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,15.47
9,5,SUCCESS,3,0.03,7.58,24.54,16962,123.64,573,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,7.54
104,5,SUCCESS,3,0.03,23.65,26.04,2388,130.57,640,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,23.62
23,5,SUCCESS,3,0.03,20.11,26.13,6017,98.45,580,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20.08
18,5,SUCCESS,2,0.03,18.67,26.42,7747,100.56,613,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,18.64
98,5,SUCCESS,3,0.03,19.71,28.54,8836,77.22,391,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,19.68
116,5,SUCCESS,3,0.03,26.04,28.91,2870,162.03,578,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,26.01
146,5,SUCCESS,3,0.03,28.91,30.37,1460,136.73,470,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28.88
76,5,SUCCESS,3,0.03,18.18,30.5,12318,98.01,512,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,18.15
43,5,SUCCESS,2,0.03,19.3,32.19,12890,107.6,584,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,19.27
51,5,SUCCESS,3,0.03,22.66,33.06,10398,118.03,749,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,22.63
37,5,SUCCESS,2,0.03,14.51,33.33,18821,114.96,734,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,14.48
82,5,SUCCESS,3,0.03,18.68,36.47,17798,162.8,521,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,18.65
75,5,SUCCESS,3,0.03,24.54,38.49,13951,140.25,321,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24.51
24,5,SUCCESS,2,0.03,19.68,38.6,18923,137.12,967,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,19.65
30,5,SUCCESS,2,0.03,26.42,39.29,12866,129.6,803,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,26.39
67,5,SUCCESS,2,0.03,33.33,39.33,6000,119.76,740,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,33.3
35,5,SUCCESS,3,0.03,28.54,41.63,13086,139.26,755,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28.51
170,5,SUCCESS,3,0.03,30.37,42.16,11797,181.06,786,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,30.34
49,5,SUCCESS,2,0.03,32.19,42.64,10456,99.44,883,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32.16
29,5,SUCCESS,3,0.03,26.13,43.81,17682,164.34,625,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,26.1
73,5,SUCCESS,2,0.03,39.33,45.07,5744,108.08,732,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,39.3
94,5,SUCCESS,3,0.03,30.5,46.27,15772,156.86,791,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,30.47
122,5,SUCCESS,3,0.03,28.54,48.36,19820,140.14,719,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28.51
48,5,SUCCESS,2,0.03,39.29,48.42,9135,65.84,314,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,39.26
176,5,SUCCESS,3,0.03,42.16,48.62,6459,113.52,584,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,42.13
106,5,SUCCESS,3,0.03,36.47,48.99,12521,101.97,341,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36.44
42,5,SUCCESS,2,0.03,38.6,49.55,10951,122.48,857,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,38.57
182,5,SUCCESS,3,0.03,48.36,51.69,3325,156.53,552,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,48.33
93,5,SUCCESS,3,0.03,33.06,53.01,19951,169.84,759,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,33.03
79,5,SUCCESS,2,0.03,42.64,54.74,12095,137.76,861,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,42.61
111,5,SUCCESS,3,0.03,38.49,55.28,16796,108.57,450,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,38.46
47,5,SUCCESS,3,0.03,43.81,56.41,12598,67.87,316,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,43.78
91,5,SUCCESS,2,0.03,45.07,58.4,13330,81.76,479,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,45.04
129,5,SUCCESS,3,0.03,53.01,59.05,6036,137.94,818,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,52.98
41,5,SUCCESS,3,0.03,41.63,59.76,18131,170.72,701,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,41.6
53,5,SUCCESS,3,0.03,56.41,60.88,4465,131.56,882,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,56.38
109,5,SUCCESS,2,0.03,54.74,62.32,7576,83.92,617,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,54.71
60,5,SUCCESS,2,0.03,48.42,63.46,15038,86.56,351,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,48.39
147,5,SUCCESS,3,0.03,59.05,63.47,4428,134.86,563,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,59.02
118,5,SUCCESS,3,0.03,46.27,64.45,18177,148.83,419,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,46.24
194,5,SUCCESS,3,0.03,48.62,64.5,15878,141.9,509,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,48.59
71,5,SUCCESS,3,0.03,60.88,66.39,5517,157.85,992,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,60.85
124,5,SUCCESS,3,0.03,48.99,67.5,18502,138.93,695,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,48.96
66,5,SUCCESS,2,0.03,49.55,68.02,18465,106.72,869,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,49.52
212,5,SUCCESS,3,0.03,51.69,70.89,19201,154.22,483,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,51.66
127,5,SUCCESS,2,0.03,58.4,71.16,12755,114.88,791,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,58.37
153,5,SUCCESS,3,0.03,63.47,72.06,8585,92.95,352,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,63.44
136,5,SUCCESS,3,0.03,67.5,72.4,4904,158.62,923,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,67.47
130,5,SUCCESS,3,0.03,64.45,73.55,9099,128.7,572,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,64.42
135,5,SUCCESS,3,0.03,55.28,73.66,18381,148.83,966,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,55.25
189,5,SUCCESS,3,0.03,73.66,74.99,1328,116.49,401,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,73.63
160,5,SUCCESS,3,0.03,73.55,75.27,1722,142.89,439,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,73.52
145,5,SUCCESS,2,0.03,62.32,75.57,13250,110.88,424,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,62.29
151,5,SUCCESS,2,0.03,71.16,75.6,4449,134.56,890,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,71.13
78,5,SUCCESS,2,0.03,68.02,76.92,8906,66.96,330,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,67.99
65,5,SUCCESS,3,0.03,59.76,78.75,18995,76.56,342,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,59.73
