Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
2,3,SUCCESS,2,0.01,0.01,6,5991,129.9,602,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
0,3,SUCCESS,2,0.01,0.01,10.1,10093,91.4,487,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
6,3,SUCCESS,2,0.01,6,10.97,4969,100,676,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,5.99
3,3,SUCCESS,2,0.01,0.01,14.77,14759,154,931,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
4,3,SUCCESS,2,0.01,10.1,16.57,6468,177.1,804,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,10.09
1,3,SUCCESS,2,0.01,0.01,16.74,16730,109.9,374,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
15,3,SUCCESS,2,0.01,16.57,21.14,4573,74.7,372,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16.56
16,3,SUCCESS,2,0.01,16.57,24.68,8111,93.3,477,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16.56
12,3,SUCCESS,2,0.01,10.97,27.76,16791,185.1,896,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,10.96
10,3,SUCCESS,2,0.01,10.1,27.98,17881,111.8,648,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,10.09
7,3,SUCCESS,2,0.01,14.77,29.6,14832,184.7,917,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,14.76
18,3,SUCCESS,2,0.01,10.97,30.38,19415,90.9,426,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,10.96
19,3,SUCCESS,2,0.01,21.14,30.52,9374,118.6,747,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,21.13
20,3,SUCCESS,2,0.01,24.68,33.63,8945,144.1,974,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24.67
5,3,SUCCESS,2,0.01,16.74,35.34,18603,173.6,831,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16.73
22,3,SUCCESS,2,0.01,27.98,40.74,12753,190.6,989,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,27.97
32,3,SUCCESS,2,0.01,33.63,42.43,8801,198.5,995,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,33.62
