Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
0,5,SUCCESS,2,0.03,0.03,4.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
1,5,SUCCESS,2,0.03,0.03,4.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
2,5,SUCCESS,3,0.03,0.03,4.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
3,5,SUCCESS,3,0.03,0.03,4.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
4,5,SUCCESS,3,0.03,0.03,4.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
5,5,SUCCESS,3,0.03,0.03,4.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
6,5,SUCCESS,2,0.03,4.03,8.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
7,5,SUCCESS,2,0.03,4.03,8.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
8,5,SUCCESS,3,0.03,4.03,8.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
9,5,SUCCESS,3,0.03,4.03,8.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
10,5,SUCCESS,3,0.03,4.03,8.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
11,5,SUCCESS,3,0.03,4.03,8.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
12,5,SUCCESS,2,0.03,8.03,12.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
13,5,SUCCESS,2,0.03,8.03,12.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
14,5,SUCCESS,3,0.03,8.03,12.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
15,5,SUCCESS,3,0.03,8.03,12.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
16,5,SUCCESS,3,0.03,8.03,12.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
17,5,SUCCESS,3,0.03,8.03,12.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
18,5,SUCCESS,2,0.03,12.03,16.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
19,5,SUCCESS,2,0.03,12.03,16.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
20,5,SUCCESS,3,0.03,12.03,16.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
21,5,SUCCESS,3,0.03,12.03,16.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
22,5,SUCCESS,3,0.03,12.03,16.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
23,5,SUCCESS,3,0.03,12.03,16.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
24,5,SUCCESS,2,0.03,16.03,20.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
25,5,SUCCESS,2,0.03,16.03,20.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
26,5,SUCCESS,3,0.03,16.03,20.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
27,5,SUCCESS,3,0.03,16.03,20.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
28,5,SUCCESS,3,0.03,16.03,20.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
29,5,SUCCESS,3,0.03,16.03,20.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
30,5,SUCCESS,2,0.03,20.03,24.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
31,5,SUCCESS,2,0.03,20.03,24.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
32,5,SUCCESS,3,0.03,20.03,24.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
33,5,SUCCESS,3,0.03,20.03,24.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
34,5,SUCCESS,3,0.03,20.03,24.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
35,5,SUCCESS,3,0.03,20.03,24.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
36,5,SUCCESS,2,0.03,24.03,28.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
37,5,SUCCESS,2,0.03,24.03,28.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
38,5,SUCCESS,3,0.03,24.03,28.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
39,5,SUCCESS,3,0.03,24.03,28.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
40,5,SUCCESS,3,0.03,24.03,28.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
41,5,SUCCESS,3,0.03,24.03,28.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
42,5,SUCCESS,2,0.03,28.03,32.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
43,5,SUCCESS,2,0.03,28.03,32.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
44,5,SUCCESS,3,0.03,28.03,32.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
45,5,SUCCESS,3,0.03,28.03,32.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
46,5,SUCCESS,3,0.03,28.03,32.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
47,5,SUCCESS,3,0.03,28.03,32.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
48,5,SUCCESS,2,0.03,32.03,36.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
49,5,SUCCESS,2,0.03,32.03,36.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
50,5,SUCCESS,3,0.03,32.03,36.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
51,5,SUCCESS,3,0.03,32.03,36.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
52,5,SUCCESS,3,0.03,32.03,36.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
53,5,SUCCESS,3,0.03,32.03,36.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
54,5,SUCCESS,2,0.03,36.03,40.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
55,5,SUCCESS,2,0.03,36.03,40.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
56,5,SUCCESS,3,0.03,36.03,40.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
57,5,SUCCESS,3,0.03,36.03,40.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
58,5,SUCCESS,3,0.03,36.03,40.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
59,5,SUCCESS,3,0.03,36.03,40.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
60,5,SUCCESS,2,0.03,40.03,44.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,40
61,5,SUCCESS,2,0.03,40.03,44.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,40
62,5,SUCCESS,3,0.03,40.03,44.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,40
63,5,SUCCESS,3,0.03,40.03,44.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,40
64,5,SUCCESS,3,0.03,40.03,44.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,40
65,5,SUCCESS,3,0.03,40.03,44.03,4000,99,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,40
66,5,SUCCESS,2,0.03,44.03,48.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,44
67,5,SUCCESS,2,0.03,44.03,48.03,4000,72,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,44
