Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
0,3,SUCCESS,2,0.01,0.01,4.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
2,3,SUCCESS,2,0.01,0.01,4.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
1,3,SUCCESS,2,0.01,0.01,4.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
3,3,SUCCESS,2,0.01,0.01,4.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,0
4,3,SUCCESS,2,0.01,4.01,8.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
6,3,SUCCESS,2,0.01,4.01,8.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
5,3,SUCCESS,2,0.01,4.01,8.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
7,3,SUCCESS,2,0.01,4.01,8.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,4
8,3,SUCCESS,2,0.01,8.01,12.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
10,3,SUCCESS,2,0.01,8.01,12.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
9,3,SUCCESS,2,0.01,8.01,12.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
11,3,SUCCESS,2,0.01,8.01,12.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,8
12,3,SUCCESS,2,0.01,12.01,16.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
14,3,SUCCESS,2,0.01,12.01,16.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
13,3,SUCCESS,2,0.01,12.01,16.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
15,3,SUCCESS,2,0.01,12.01,16.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,12
16,3,SUCCESS,2,0.01,16.01,20.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
18,3,SUCCESS,2,0.01,16.01,20.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
17,3,SUCCESS,2,0.01,16.01,20.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
19,3,SUCCESS,2,0.01,16.01,20.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,16
20,3,SUCCESS,2,0.01,20.01,24.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
22,3,SUCCESS,2,0.01,20.01,24.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
21,3,SUCCESS,2,0.01,20.01,24.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
23,3,SUCCESS,2,0.01,20.01,24.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,20
24,3,SUCCESS,2,0.01,24.01,28.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
26,3,SUCCESS,2,0.01,24.01,28.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
25,3,SUCCESS,2,0.01,24.01,28.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
27,3,SUCCESS,2,0.01,24.01,28.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,24
28,3,SUCCESS,2,0.01,28.01,32.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
30,3,SUCCESS,2,0.01,28.01,32.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
29,3,SUCCESS,2,0.01,28.01,32.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
31,3,SUCCESS,2,0.01,28.01,32.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,28
32,3,SUCCESS,2,0.01,32.01,36.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
34,3,SUCCESS,2,0.01,32.01,36.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
33,3,SUCCESS,2,0.01,32.01,36.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
35,3,SUCCESS,2,0.01,32.01,36.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,32
36,3,SUCCESS,2,0.01,36.01,40.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
38,3,SUCCESS,2,0.01,36.01,40.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
37,3,SUCCESS,2,0.01,36.01,40.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
39,3,SUCCESS,2,0.01,36.01,40.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,36
40,3,SUCCESS,2,0.01,40.01,44.01,4000,90,500,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,40
